timestamp,id,EV_charge_kWh,EV_discharge_kWh,EV_soc
2021-10-09 00:00:00+00:00,id01,0,0,56.475
2021-10-09 00:30:00+00:00,id01,0,0,56.425
2021-10-09 01:00:00+00:00,id01,0,0,56.375
2021-10-09 01:30:00+00:00,id01,0,0,56.325
2021-10-09 02:00:00+00:00,id01,0,0,56.275
2021-10-09 02:30:00+00:00,id01,0,0,56.225
2021-10-09 03:00:00+00:00,id01,0,0,56.175
2021-10-09 03:30:00+00:00,id01,0,0,56.125
2021-10-09 04:00:00+00:00,id01,0,0,56.075
2021-10-09 04:30:00+00:00,id01,0,0,56.025
2021-10-09 05:00:00+00:00,id01,0,0,55.975
2021-10-09 05:30:00+00:00,id01,0,0,55.925
2021-10-09 06:00:00+00:00,id01,0,0,55.875
2021-10-09 06:30:00+00:00,id01,0,0,55.825
2021-10-09 07:00:00+00:00,id01,0,0,55.775
2021-10-09 07:30:00+00:00,id01,0,0,55.725
2021-10-09 08:00:00+00:00,id01,0,0,55.675
2021-10-09 08:30:00+00:00,id01,0,0,55.625
2021-10-09 09:00:00+00:00,id01,0,0,54.125
2021-10-09 09:30:00+00:00,id01,0,0,52.625
2021-10-09 10:00:00+00:00,id01,0,0,51.125
2021-10-09 10:30:00+00:00,id01,0,0,50
2021-10-09 11:00:00+00:00,id01,1.524413793,0,52.38189655
2021-10-09 11:30:00+00:00,id01,3.387586207,0,57.675
2021-10-09 12:00:00+00:00,id01,0,0,57.625
2021-10-09 12:30:00+00:00,id01,0,0,57.575
2021-10-09 13:00:00+00:00,id01,0,0,57.525
2021-10-09 13:30:00+00:00,id01,0,0,57.475
2021-10-09 14:00:00+00:00,id01,0,0,57.425
2021-10-09 14:30:00+00:00,id01,0,0,57.375
2021-10-09 15:00:00+00:00,id01,0,0,57.325
2021-10-09 15:30:00+00:00,id01,0,0,57.275
2021-10-09 16:00:00+00:00,id01,0,0,57.225
2021-10-09 16:30:00+00:00,id01,0,0,57.175
2021-10-09 17:00:00+00:00,id01,0,0,57.125
2021-10-09 17:30:00+00:00,id01,0,0,57.075
2021-10-09 18:00:00+00:00,id01,0,0,57.025
2021-10-09 18:30:00+00:00,id01,0,0,56.975
2021-10-09 19:00:00+00:00,id01,0,0,56.925
2021-10-09 19:30:00+00:00,id01,0,0,56.875
2021-10-09 20:00:00+00:00,id01,0,0,56.825
2021-10-09 20:30:00+00:00,id01,0,0,56.775
2021-10-09 21:00:00+00:00,id01,0,0,56.725
2021-10-09 21:30:00+00:00,id01,0,0,56.675
2021-10-09 22:00:00+00:00,id01,0,0,56.625
2021-10-09 22:30:00+00:00,id01,0,0,56.575
2021-10-09 23:00:00+00:00,id01,0,0,56.525
2021-10-09 23:30:00+00:00,id01,0,0,56.475
